youtube_url,playlist,niche,sub_niche
https://www.youtube.com/watch?v=QlYLYfpmSjI,TD Bergerak,Uncategorized,General
https://www.youtube.com/watch?v=fE9eyA6dCNM,TD Bergerak,Uncategorized,General
https://www.youtube.com/watch?v=Uht5EYUTzcs,TD Bergerak,Uncategorized,General
https://www.youtube.com/watch?v=tuEtkTnO6OE,TD Bergerak,Uncategorized,General
https://www.youtube.com/watch?v=HmsL4yP5LRA,TD Bergerak,Uncategorized,General
https://www.youtube.com/watch?v=QpBW4HxpVek,TD Bergerak,Uncategorized,General
https://www.youtube.com/watch?v=u2JXHIQ2pVw,TD Bergerak,Religion,Dakwah
https://www.youtube.com/watch?v=o2oTaL3CPLU,TD Bergerak,Uncategorized,General
https://www.youtube.com/watch?v=fZtKxfvVh4E,TD Bergerak,Uncategorized,General
https://www.youtube.com/watch?v=pnUvXvdYYEU,TD Bergerak,Uncategorized,General
