niche,sub_niche,pembahasan,title,youtube_url,playlist
Religion,Dakwah,ADVICE FOR Dawah ACTIVISTS,ADVICE FOR Dawah ACTIVISTS - Habib Alwi bin Ali Al Habsyi,https://www.youtube.com/watch?v=OLFbcqGsQ9Y,ADVICE FOR Dawah ACTIVISTS - Habib Alwi bin Ali Al Habsyi
,,,,,
Religion,Dakwah,Agar Terhindar Dari Dosa Batin || Safari Dakwah Lombok,Agar Terhindar Dari Dosa Batin || Safari Dakwah Lombok || Ustadz Ja'far Al Jufri,https://www.youtube.com/watch?v=HN5isi-nUfo,Agar Terhindar Dari Dosa Batin || Safari Dakwah Lombok || Ustadz Ja'far Al Jufri
,,,,,
Uncategorized,General,Cara Menghidupkan Hati Yang Mati,Cara Menghidupkan Hati Yang Mati,https://www.youtube.com/watch?v=WZn9S4a09oU,Cara Menghidupkan Hati Yang Mati
,,,,,
Uncategorized,General,Glory | Prophet Adam | Light of the Prophets Series | Ustaz Ja'far Al-Jufri,Glory | Prophet Adam eps. 2 | Light of the Prophets Series | Ustaz Ja'far Al-Jufri,https://www.youtube.com/watch?v=6br0SKYB-2w,Glory | Prophet Adam eps. 2 | Light of the Prophets Series | Ustaz Ja'far Al-Jufri
,,,,,
Religion,Dakwah,ZUHUD TERHADAP DUNIA,ZUHUD TERHADAP DUNIA - Habib Muhammad Habibi Al Attas,https://www.youtube.com/watch?v=DiiLvDgq-eo,HADRAH BASAUDAN
Religion,Dakwah,MENGAPA KHAWATIR SOAL REZEKI,MENGAPA KHAWATIR SOAL REZEKI - Habib Muhammad Habibi Al Attas,https://www.youtube.com/watch?v=W9FM56Ix_Zw,HADRAH BASAUDAN
Religion,Dakwah,Habib Muhammad Habibi Al Attas - Kisah Mengenai Gambaran Dunia,Habib Muhammad Habibi Al Attas - Kisah Mengenai Gambaran Dunia,https://www.youtube.com/watch?v=1XRMzvvlIQQ,HADRAH BASAUDAN
,,,,,
Beauty,Haircare,HAIFALA PODCAST - FEATURING SHEIKH YASIR AS-SYUHAIRI,HAIFALA PODCAST - FEATURING SHEIKH YASIR AS-SYUHAIRI,https://www.youtube.com/watch?v=hrwzOCQiEI4,HAIFALA PODCAST - FEATURING SHEIKH YASIR AS-SYUHAIRI
,,,,,
Uncategorized,General,INI DIA CARA MENGHIDUPI HATI YANG MATI,INI DIA CARA MENGHIDUPI HATI YANG MATI || Ustad Ja'far Al Jufri,https://www.youtube.com/watch?v=YR1RmdXa7uk,INI DIA CARA MENGHIDUPI HATI YANG MATI || Ustad Ja'far Al Jufri
,,,,,
Religion,Dakwah,"INSPIRATIF!!  |  DARI PEMUNGUT PAJAK, DAKWAH, DAN IMPIAN TUK BANGUN RIBUAN MASJID !","INSPIRATIF!!  |  DARI PEMUNGUT PAJAK, DAKWAH, DAN IMPIAN TUK BANGUN RIBUAN MASJID !",https://www.youtube.com/watch?v=t8UPfd838kI,"INSPIRATIF!!  |  DARI PEMUNGUT PAJAK, DAKWAH, DAN IMPIAN TUK BANGUN RIBUAN MASJID !"
,,,,,
Religion,Dakwah,MAJELIS FIQH SORE - Bersama Habib Arief Asshofi,MAJELIS FIQH SORE - Bersama Habib Arief Asshofi,https://www.youtube.com/watch?v=xvOCGkOfr_E,KAJIAN KITAB SETIAP JUM'AT
Religion,Dakwah,KAJIAN KITAB BAHJATUL WASAIL & BIDAYAH HIDAYAH - BERSAMA HABIB ARIEF ASSHOFI,KAJIAN KITAB BAHJATUL WASAIL & BIDAYAH HIDAYAH - BERSAMA HABIB ARIEF ASSHOFI,https://www.youtube.com/watch?v=BonI3RYrwbw,KAJIAN KITAB SETIAP JUM'AT
Religion,Dakwah,KAJIAN KITAB BAHJATUL WASAIL & BIDAYAH HIDAYAH,KAJIAN KITAB BAHJATUL WASAIL & BIDAYAH HIDAYAH -  USTADZ ARIEF ASSHOFI,https://www.youtube.com/watch?v=4otyR38Rgvk,KAJIAN KITAB SETIAP JUM'AT
Uncategorized,General,,,https://www.youtube.com/watch?v=1QuvCfRmA2E,KAJIAN KITAB SETIAP JUM'AT
,,,,,
Religion,Dakwah,PARA DAI HARUS SIMAK SAMPAI TUNTAS !!! - SPESIAL BERSAMA HABIB ALWI AL HABSYI,PARA DAI HARUS SIMAK SAMPAI TUNTAS !!! - SPESIAL BERSAMA HABIB ALWI AL HABSYI,https://www.youtube.com/watch?v=SZdxzv1y51A,KISAHMU PODCAST
Religion,Dakwah,It Turns Out This Is How the Prophet Muhammad Entertained His Companions,It Turns Out This Is How the Prophet Muhammad Entertained His Companions - Habib Jafar Aljufrie a...,https://www.youtube.com/watch?v=ICSccldDhfc,KISAHMU PODCAST
Religion,Dakwah,So This Is How the Prophet Comforted His Companions,So This Is How the Prophet Comforted His Companions - Habib Jafar Aljufrie and Mas Fathur,https://www.youtube.com/watch?v=_sgJsd8gLyA,KISAHMU PODCAST
,,,,,
Religion,Dakwah,Ketika Allah Menghibur Rasulullah,Ketika Allah Menghibur Rasulullah || Habib Ja'far Al Jufri,https://www.youtube.com/watch?v=EMdpt9jqd7c,Ketika Allah Menghibur Rasulullah || Habib Ja'far Al Jufri
,,,,,
Religion,Dakwah,Kisah Dibalik Surat Yasin || Tadabbur Surat Yasin,Kisah Dibalik Surat Yasin || Tadabbur Surat Yasin || Ustadz Ja'far Al Jufri,https://www.youtube.com/watch?v=Ygu1Pn0htCs,Kisah Dibalik Surat Yasin || Tadabbur Surat Yasin || Ustadz Ja'far Al Jufri
,,,,,
Uncategorized,General,MAJELIS SUBUH SPESIAL MAULID - Kisah Kasih Sang Nabi,MAJELIS SUBUH SPESIAL MAULID - Kisah Kasih Sang Nabi,https://www.youtube.com/watch?v=M3EwrjMr7io,MAEJLIS SUBUH KAYEN
Religion,Dakwah,MAJELIS SUBUH KAYEN - Bersama Habib Jafar Al Jufri,MAJELIS SUBUH KAYEN EPS. 11 - Bersama Habib Jafar Al Jufri,https://www.youtube.com/watch?v=z2iHoge8xrg,MAEJLIS SUBUH KAYEN
Religion,Dakwah,MAJELIS SUBUH KAYEN - Bersama Habib Ja'far Al Jufri,MAJELIS SUBUH KAYEN EPS. 10 - Bersama Habib Ja'far Al Jufri,https://www.youtube.com/watch?v=sWOgmBcs-xE,MAEJLIS SUBUH KAYEN
Religion,Dakwah,MAJELIS SUBUH KAYEN - TADABBUR KISAH AL QUR'AN BERSAMA HABIB JA'FAR AL JUFRI,MAJELIS SUBUH KAYEN EPS.9 - TADABBUR KISAH AL QUR'AN BERSAMA HABIB JA'FAR AL JUFRI,https://www.youtube.com/watch?v=Kq9Iqq1PveY,MAEJLIS SUBUH KAYEN
