niche,sub_niche,pembahasan,title,youtube_url,playlist
Religion,Cinta & Pernikahan,Bukti & Komitmen Cinta Sejati,"BUKTI TANDA CINTA - Ust. Heru Kusumahadi, Habib Ja'far Al Jufri & M. Atiatul Muktadir - OnTheWayTalk",https://www.youtube.com/watch?v=jZO5zi4WmFM,On The Way Talk
Religion,Cinta & Pernikahan,Hakikat Cinta karena Allah & Menata Hati,Ajari Aku Cinta - Ustadz Fikri & Ustadz Luqman - On The Way Talk,https://www.youtube.com/watch?v=UV-SrA1tlig,On The Way Talk
Religion,Cinta & Pernikahan,Kesabaran Menghadapi Ujian Pasangan & Rumah Tangga,Sabar Ya Sayang - Habib Ja'far Al Jufri & Ustadz Fikri -  On The Way Talk,https://www.youtube.com/watch?v=lZNF_3L4bLQ,On The Way Talk
Religion,Cinta & Pernikahan,Kesiapan Menikah & Ikhtiar Menjemput Jodoh,WHEN THE HEART LONGS FOR MARRIAGE - Ustadz Zaky A. Rivai & Ustadz Denis Dinamis - OnTheWayTalk,https://www.youtube.com/watch?v=Y3-Tk-lhVt4,On The Way Talk
Religion,Cinta & Pernikahan,Kriteria & Kesiapan Menjadi Pendamping Hidup,MENJADI PENDAMPINGMU - Habib Ja'far Al Jufrie & Bang Fathurr - On The Way Talk,https://www.youtube.com/watch?v=QYoqx0fnyAM,On The Way Talk
Religion,Cinta & Pernikahan,Membangun Visi Pernikahan Sakinah (Bagian 2),Denganmu Saja - Habib Ja'far Al-Jufri & Bang Fathur - On The Way Talk,https://www.youtube.com/watch?v=DDS5U47VHkY,On The Way Talk
Religion,Cinta & Pernikahan,Memilih Pasangan Sehidup Sesurga (Bagian 1),Denganmu Saja - Habib Ja'far Al-Jufri & Bang Fathur - On The Way Talk,https://www.youtube.com/watch?v=w9FEQ-NLXyg,On The Way Talk
Religion,Cinta & Pernikahan,Menerima Kekurangan Pasangan Menuju Cinta Sempurna,Kesempurnaan Cinta - Habib Ja'far Al Jufri & M. Atiatul Muqtadir - On The Way Talk,https://www.youtube.com/watch?v=AaabYT5hQAA,On The Way Talk
Religion,Cinta & Pernikahan,Menjaga Janji Setia & Komitmen Rumah Tangga,Janji Setia - Habib Ja'far Al Jufri & Bang Fatur - On The  Way,https://www.youtube.com/watch?v=hkBMydGGSKc,On The Way Talk
Religion,Cinta & Pernikahan,Romantisme dalam Rumah Tangga Islami,Habib Ja'far Al-Jufri & Ustadz Fikri - Kita Bikin Romantis - On The Way Talk,https://www.youtube.com/watch?v=YXVJx0RqTWM,On The Way Talk
Religion,Cinta & Hubungan,Cinta Pandangan Pertama & Menjaga Pandangan,CINTA PANDANGAN PERTAMA - Habib Ja'far Al Jufrie & Bang Fathurr - On The Way Talk,https://www.youtube.com/watch?v=t2IiS47CMac,On The Way Talk
Religion,Cinta & Hubungan,Keikhlasan dalam Mencintai & Melepaskan,"Cinta Dalam Ikhlas - Habib Ja'far Al Jufri, Ustadz Zaky A. Rivai & Hyung Hammad Rosyadi - On The Way",https://www.youtube.com/watch?v=UpYJee6s6qc,On The Way Talk
Religion,Cinta & Hubungan,"Keterbukaan Hati, Kejujuran Rasa & Doa untuk Pasangan",Semua Tentang Aku Kepadamu - Habib Ja'far Al-Jufri & Hyung Hammad - On The Way Talk,https://www.youtube.com/watch?v=y3tEL0zccX4,On The Way Talk
Religion,Cinta & Hubungan,Landasan Menjalin Hubungan Karena Cinta Ilahi,Semua Karena Cinta - Ustadz Ali Abu Haidar - On The Way Talk,https://www.youtube.com/watch?v=444WCw3CJ2k,On The Way Talk
Religion,Cinta & Hubungan,Mencintai Sepenuh Hati dalam Bingkai Syariat,"Sepenuh Cinta - Habib Ja'far Al-Jufri, Bang Fathur, Syaikh Abdullah Jamal Mutwailli -On The Way Talk",https://www.youtube.com/watch?v=vItDyb3jJoo,On The Way Talk
Religion,Cinta & Hubungan,Mengendalikan Keinginan Memiliki & Menghalalkan Rasa,"Ketika Hati Ingin Memiliki-Habib Ja'far Al-Jufri, Ustadz Zayyin Ahmad, Ustadz Aditya Abdurrahman-OTW",https://www.youtube.com/watch?v=fI6IQs7NO_4,On The Way Talk
Religion,Cinta & Hubungan,Menyikapi Rasa Suka Sesuai Tuntunan Agama,"Aku Jatuh Suka - Habib Arief Assofi, Lc & Ustadz Hanif Kertasari - On The Wey Talk",https://www.youtube.com/watch?v=f6GuxQAE5jE,On The Way Talk
Religion,Spiritualitas & Akhirat,Investasi Pahala Akhirat & Amal Jariyah,TAPERA (Tabungan Pahala Akherat) - Habib Ja'far Al-Jufri & Ustadz Fikri - On The Way Talk,https://www.youtube.com/watch?v=pZm13JNT7r4,On The Way Talk
Religion,Spiritualitas & Akhirat,Meraih Akhir Kehidupan yang Bahagia di Sisi Allah,Akhir Yang Bahagia - Habib Ja'far Al Jufri & Bang Fathurr - On The Way Talk,https://www.youtube.com/watch?v=sR5DVlWjIm4,On The Way Talk
Religion,Spiritualitas & Mahabbah,Kerinduan Spiritual Kepada Rasulullah SAW,Dunia Hampa Tanpamu - Ustadz Ali Abu Haidar & Ustadz Fikri - On The Way Talk,https://www.youtube.com/watch?v=u6F5BfQlVkk,On The Way Talk
Religion,Spiritualitas & Fiqih Kehidupan,Kemudahan dalam Menjalankan Syariat Agama,Mudah Saja - Habib Ja'far Al Jufri & M. Atiatul Muqtadir - On The Way Talk,https://www.youtube.com/watch?v=eMub89Y2opg,On The Way Talk
Religion,Spiritualitas & Tawakal,Kekuatan Pasrah & Menyerahkan Urusan kepada Ketetapan Allah,Pasrah Yang Menguatkan - Ustadz Fikri & Ustadz Hanif- On The Way Talk,https://www.youtube.com/watch?v=R5Fzn0SvJtk,On The Way Talk
Religion,Spiritualitas & Tawakal,Optimisme Atas Pertolongan Allah dalam Setiap Masalah,"Don't Worry, He Always Has a Way - Habib Ja'far Al Jufri & Bang Fathur - On The Way Talk",https://www.youtube.com/watch?v=UI1-wiwqwzo,On The Way Talk
Religion,Spiritualitas & Doa,Husnudzon Menanti Jawaban Doa yang Tertunda,There's an Ellipsis at the End of Every Prayer - Gus Aziz Musthofa & Habib Ja'far & Bang Fathur -...,https://www.youtube.com/watch?v=ZrEGljSU6nc,On The Way Talk
Religion,Spiritualitas & Istiqomah,Refleksi Akhir Perjalanan & Menjaga Konsistensi Kebaikan,LAST EPISODE - Habib Jafar Al Jufri & Bang Fathur - On The Way Talk,https://www.youtube.com/watch?v=n61SYJuQ6yE,On The Way Talk
Religion,Taubat & Muhasabah,Bahaya Normalisasi Dosa & Mengerasnya Hati,KETIKA DOSA DIANGGAP BIASA - Mas Fathur & Ustadz Fikri Nadjib - OTW,https://www.youtube.com/watch?v=7NDlUaJY1KE,On The Way Talk
Religion,Taubat & Muhasabah,"Fenomena Si Paling Hijrah, Spiritual Ego & Istiqomah","Si Paling Hijrah - Bang Zaky A Rivai, Habib Jafar Al-Jufri, dan M Atiatul Muqtadir - On The Way Talk",https://www.youtube.com/watch?v=4P-AhiME8vw,On The Way Talk
Religion,Taubat & Muhasabah,Kembali Pulang Menuju Ampunan Allah (Bagian 1),KEMBALI PULANG - Habib jafar Aljufrie dan Ustadz fikri Nadjib,https://www.youtube.com/watch?v=gQCqpCcXcmE,On The Way Talk
Religion,Taubat & Muhasabah,Mempersiapkan Kematian & Meraih Khusnul Khotimah,Menemukan Akhir Yang Baik - Habib Ja'far AlJufri & Bang Fathur - OnTheWayTalk,https://www.youtube.com/watch?v=_iQwqO9-7fY,On The Way Talk
Religion,Taubat & Muhasabah,Menemukan Cahaya Hidayah & Keluar dari Kegelapan,Menemukan Cahaya - Habib Ja'far Al jufri & M. Atiatul Muqtadir - On The Way,https://www.youtube.com/watch?v=kvdY9w-Z650,On The Way Talk
Religion,Taubat & Muhasabah,Menghindari Maksiat Tersembunyi & Menjaga Keimanan (Bagian 2),Lengah Dikit Berdosa - Habib Ja'far Al-Jufri & M. Atiatul Muqtadir - On The Way,https://www.youtube.com/watch?v=g557rXfFiG8,On The Way Talk
Religion,Taubat & Muhasabah,Menundukkan Hawa Nafsu & Godaan Maksiat,MELINDAS - ustadz Ali abu Haidar & Ustadz Fikri Nadjib - On The Way Talk,https://www.youtube.com/watch?v=9EzTwSUC4mg,On The Way Talk
Religion,Taubat & Muhasabah,Menyegerakan Taubat Selagi Masih Diberi Kesempatan Waktu,MASIH ADA WAKTUNYA  - Habib Ja'far Al Jufrie & Bang FAthurr  - On The Way Talk,https://www.youtube.com/watch?v=Rxz-mUwPo78,On The Way Talk
Religion,Taubat & Muhasabah,Titik Balik Hijrah & Kembali Bersimpuh kepada Sang Pencipta (Bagian 2),Kembali Pulang - Ustadz  Fikri & Bang Fathur - On The Way Talk,https://www.youtube.com/watch?v=UsT3WC5ilMU,On The Way Talk
Religion,Taubat & Muhasabah,Waspada Terhadap Dosa Kecil & Menjaga Hati (Bagian 1),Lengah Dikit Berdosa - Habib Ja'far Al-Jufri & M. Atiatul Muqtadir - On The Way,https://www.youtube.com/watch?v=nAeyNehbzHc,On The Way Talk
Religion,Keluarga & Birrul Walidain,Keberkahan Doa Ibu & Keutamaan Berbakti kepada Orang Tua,Keajaiban Do'a Ibu - Habib Ja'far Al-Jufri & Ustadz Fikri - On The Way Talk,https://www.youtube.com/watch?v=wW97voB4Nws,On The Way Talk
Religion,Keluarga & Parenting,Fenomena Fatherless & Urgensi Peran Ayah dalam Keluarga,Fatherles - Habib Ja'far Al Jufrie & Mas Fathuur - On The Way Talk,https://www.youtube.com/watch?v=ozNZgeyXwN8,On The Way Talk
Religion,Keluarga & Parenting,"Mendidik Karakter, Maskulinitas & Moral Generasi Muda","Agar Anak Tidak Menjadi Boti - Mas irfan, Mas Fatur & Habib Ja'far Al Jufri - On The Way Talk",https://www.youtube.com/watch?v=uGLNeNvT5mw,On The Way Talk
Religion,Akhlak & Ulama,"Adab Memuliakan, Menghormati & Mencintai Ulama",Mencintai Ulama - Habib Ja'far Al-Jufri & Ustadz Fikri - On The Way Talk,https://www.youtube.com/watch?v=2p8ZarYz-QQ,On The Way Talk
Religion,Akhlak & Uswah,Meneladani Sosok Figur Inspiratif & Guru Spiritual,Engkau Inspirasiku - Habib Ja'far Al-Jufri & Ustadz Fikri - On The Way Talk,https://www.youtube.com/watch?v=QPZbsBZiLM0,On The Way Talk
Religion,Akhlak & Adab,Bahaya Rantai Kebohongan & Urgensi Kejujuran,Berdusta Demi Dusta - Habib Ja'far Al Jufri & Hyung Hammad Rasyadi - On The Way,https://www.youtube.com/watch?v=fbPrGS2sHf8,On The Way Talk
Religion,Dakwah & Nasihat,Tadabbur Ayat & Renungan Nasihat Kehidupan,Ayat-ayat Nasihat - Habib Ja'far Al-Jufri - On The Way Talk,https://www.youtube.com/watch?v=AAJv4xzeC5Y,On The Way Talk
Religion,Dakwah & Sirah,Maulid Akbar Teras Dakwah x Hayfala (Bagian 2),Maulid Akbar - Teras Dakwah x On The Way Talk x Hayfala,https://www.youtube.com/watch?v=MZtDlEy0FQw,On The Way Talk
Religion,Dakwah & Sirah,Peringatan Maulid Nabi & Meneladani Akhlak Rasulullah (Bagian 1),Maulid Akbar - M Atiatul Muqtadir dan Para Habaib - On The Way,https://www.youtube.com/watch?v=PZHz-9Tk7s8,On The Way Talk
Religion,Dakwah & Amal Jariyah,Meninggalkan Warisan Kebaikan & Dakwah yang Abadi,Bergema Sampai Selamanya - Habib Ja'far Al Jufri & Ustadz Fikri - OnTheWayTalk,https://www.youtube.com/watch?v=CgM5ZXmU7eA,On The Way Talk
Religion,Ukhuwah & Dakwah,Kilas Balik Kenangan Perjuangan Dakwah & Persahabatan,KENANGAN MANIS - Habib Ja'far Al Jufri & Mas M. Atiatul Muqtadir  - OnTheWayTalk,https://www.youtube.com/watch?v=6fdwSXAIWI8,On The Way Talk
Religion,Ukhuwah & Sahabat,Indahnya Hari Bersama Sahabat yang Shalih,Hari Bersamanya - Habib Ja'far Al Jufri & Uatadz Fikri - OnTheWayTalk,https://www.youtube.com/watch?v=GexXNG0sq3U,On The Way Talk
Religion,Ukhuwah & Sahabat,Keindahan Menjalin Persahabatan Positif & Saling Menguatkan,Everything Feels Beautiful When I'm With You - Bang Achmad Irfan & Bang Een Adipratama - On The W...,https://www.youtube.com/watch?v=7K03Le9LvMI,On The Way Talk
Religion,Ukhuwah & Muhasabah,Merawat Ikatan Persaudaraan & Refleksi Bersama,Semua Tentang Kita - Habib Ja'far Al Jufri & M. Atiatul Muqtadir - OnTheWayTalk,https://www.youtube.com/watch?v=yBDmnxV_4lo,On The Way Talk
Self Improvement,Cinta & Hubungan,Mengatasi Ketergantungan Emosional & Menemukan Diri,BILA KAU TIDAK DISAMPINGKU - Habib Ja'far Al Jufrie & Bang Fathurr - On The Way Talk,https://www.youtube.com/watch?v=pF63KMoJ2fA,On The Way Talk
Self Improvement,Cinta & Hubungan,"Mengelola Rasa Kagum, Perasaan Hati & Baper",Ini Tentang Sebuah Rasa - M. Atiatul Muqtadir & Habib Ja'far Al Jufri - On The Way,https://www.youtube.com/watch?v=Gl1n0skpgs4,On The Way Talk
Self Improvement,Cinta & Hubungan,Mengenali & Menghindari Toxic Relationship,Hati-hati Cinta Toxic - Ustadz Deniz Dinamiz - On The Way,https://www.youtube.com/watch?v=7GbH28zgi1U,On The Way Talk
Self Improvement,Cinta & Hubungan,Menjaga Hati Pasangan & Menghindari Sakit Hati,Menjagamu Tak Patah Hati - Bang Fathurr & Ustadz Hanif Kertasari - On The Way Talk,https://www.youtube.com/watch?v=nRvlzxAlvCo,On The Way Talk
Self Improvement,Cinta & Hubungan,Menjaga Hubungan Jarak Jauh (LDR) & Komunikasi Sehat,WHEN DISTANCE BECOMES THE ANSWER - Ust. Habib Jafar Al-Jufri & Bang Fathur - OnTheWayTalk,https://www.youtube.com/watch?v=inkJ8u_SpQU,On The Way Talk
Self Improvement,Cinta & Hubungan,Menyeimbangkan Ambisi Karier & Pencarian Jodoh,Antara Cita dan Cinta - Ustadz Deniz Dinamiz - On The Way Talk,https://www.youtube.com/watch?v=b9XOTVTxdNM,On The Way Talk
Self Improvement,Mental Health & Healing,"La Tahzan: Mengatasi Kesedihan, Kecemasan & Depresi",JANGAN BERSEDIH - Bang Fathur & Habib Ja'far Al-Jufri - On The Way Talk,https://www.youtube.com/watch?v=3CebPp88aXk,On The Way Talk
Self Improvement,Mental Health & Healing,Membasuh Luka Hati & Mengobati Kekecewaan Mendalam,MEMBASUH LUKA - Ustad Hanif Kertasari & Bang Fathur  - On The Way Talk,https://www.youtube.com/watch?v=8xS75dNf0KU,On The Way Talk
Self Improvement,Mental Health & Healing,Mengatasi Rasa Sepi & Kekosongan Jiwa,When the Heart is Lonely - Habib Isa Alkaff & Habib Jaf'ar Al Jufri & Bang Fathur - On The Way Talk,https://www.youtube.com/watch?v=YV0DoIaRESE,On The Way Talk
Self Improvement,Mental Health & Healing,Menghadapi Burnout & Menjaga Jarak dari Lingkungan Negatif,Kabur Aja Dulu - Habib Ja'far Al Jufri & Ustadz Fikri Nadjib - On The Way,https://www.youtube.com/watch?v=cmKtiloFMkE,On The Way Talk
Self Improvement,Mental Health & Healing,Menyembuhkan Luka Batin & Pemulihan Trauma,"Luka Akan Sembuh - Ustadz Salim A. Fillah, Hyung Hammad Rosyadi, & Ustadz Amri Fatmi - On The Way",https://www.youtube.com/watch?v=p-0QO3IYKiY,On The Way Talk
Self Improvement,Mindset & Resiliensi,Bangkit Kembali dari Kegagalan & Keterpurukan,"Memulai Kembali  - M. Atiatul Muqtadir,  Hyung Hammad Rosyadi & Bang Ale - On The Way",https://www.youtube.com/watch?v=OW7T-hchB1w,On The Way Talk
Self Improvement,Mindset & Resiliensi,"Kelapangan Hati, Ikhlas & Menerima Takdir",LAPANG DADA - Habib Ja'far Al Jufrie & Bang Fathurr - On The Way Talk,https://www.youtube.com/watch?v=-6Ph0BX-tUE,On The Way Talk
Self Improvement,Mindset & Resiliensi,Membuka Lembaran Baru & Seni Move On,Lembar Baru Perjalanan - Habib Ja'far Al-Jufri & M. Atiatul Muqtadir - On The Way,https://www.youtube.com/watch?v=O7jDCvZ9EuA,On The Way Talk
Self Improvement,Mindset & Resiliensi,Pantang Menyerah & Berikhtiar Tanpa Putus Asa,Kita Usahakan Lagi - Habib Ja'far Al Jufri & Bang Fathurrr - On The Way Talk,https://www.youtube.com/watch?v=oMdg55rUufQ,On The Way Talk
Self Improvement,Mindset & Karakter,Kekuatan Memaafkan Diri Sendiri & Melepaskan Dendam,Maaf - Habib Ja'far Al-Jufri & Bang Fathurr - On The Way Talk,https://www.youtube.com/watch?v=3mBnJHieoQM,On The Way Talk
Self Improvement,Mindset & Keyakinan,Mengikis Keraguan & Menumbuhkan Keteguhan Hati,Yakinkan Hatimu - Ustadz Fikri & Bang Fatur - On The Way Talk,https://www.youtube.com/watch?v=4q7fA6dsVLc,On The Way Talk
Self Improvement,Mindset & Kebahagiaan,Formula Menemukan Kebahagiaan Sejati & Bersyukur,The Formula for Happiness - Bang Fathur & Ustadz Denis Dinamis - On The Way Talk,https://www.youtube.com/watch?v=zmQ3mbwBL6g,On The Way Talk
Self Improvement,Confidence & Self Acceptance,Mengatasi Insecurity & Menerima Diri Apa Adanya,SEMPURNA - Habib Ja'far Al Jufrie & Bang Fathuurr - On The Way Talk,https://www.youtube.com/watch?v=2HKzv7VWyj0,On The Way Talk
Self Improvement,Self Awareness,"Mengenal Potensi, Kelemahan Diri & Refleksi Jiwa",ABOUT YOU - Habib JA'far Al Jufrie & Bang Fathurr - On The Way Talk,https://www.youtube.com/watch?v=uXdZQ7MopKM,On The Way Talk
Self Improvement,Productivity & Habits,Langkah Nyata Melakukan Perubahan Hidup Positif,Langkah Sempurna - Ustadz Hanif & Bang Fathurr - On The Way Talk,https://www.youtube.com/watch?v=lgiFSszu6JQ,On The Way Talk
Finance,Rezeki & Keberkahan,Hakikat Jaminan Rezeki & Menghilangkan Cemas Finansial,Rejeki Yang Tak Tertukar - Habib Ja'far Al-Jufri & Ustadz Fikri - On The Way Talk,https://www.youtube.com/watch?v=IG4iytSGwJs,On The Way Talk
Finance,Rezeki & Keberkahan,Menyeimbangkan Pengejaran Cuan & Harapan Ridho Ilahi,Antara Cuan & Harapan - Ustadz Fikri & Bang Fathur - On The Way,https://www.youtube.com/watch?v=mN9cgj_-0KI,On The Way Talk
