youtube_url,playlist,niche,sub_niche
https://www.youtube.com/watch?v=R891FCCdv2U,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=xLcSoCO9WXs,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=IaVyaHadYms,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=57jvojGG3H8,"Q & A Ustadz Awan Abdullah, Sp. J",Beauty,Skincare
https://www.youtube.com/watch?v=Z18WlKghuGI,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Keluarga Islami
https://www.youtube.com/watch?v=3veW2hzC-Ag,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Keluarga Islami
https://www.youtube.com/watch?v=Ib-jf1iIFOA,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=jgyZ5dfCPN0,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=nmxQZ5OdCMk,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=AQDpcyN7IFg,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Keluarga Islami
https://www.youtube.com/watch?v=YWJIa5H0C-I,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=v4zIzQ9qSbg,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=nJp9_-sfyIw,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=O5I-6HyHgus,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Keluarga Islami
https://www.youtube.com/watch?v=lQAGW0MMBsI,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=c82CKPkj2VE,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=thYHcmmA8a4,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=0ut87LfAyq0,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=8-cBQBjgq7Q,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=LeI13l_PErk,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=8X5N0CBQS74,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=8i73sTJ0AmU,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=fyuY_XUaji0,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Keluarga Islami
https://www.youtube.com/watch?v=dzzgbsVvvZA,"Q & A Ustadz Awan Abdullah, Sp. J",Self Improvement,Mindset
https://www.youtube.com/watch?v=LvCpIRCfaJw,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=OkwMNgnZBjQ,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=Mvq93PGfxRE,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=9KDgCaA1G94,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=ml7lrTIoBaM,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=Tt-jge167qY,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=vmH2UrNzP_0,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=yn71tyZhKB4,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=xHU6LOqErVM,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=ocoGXUJPaZ4,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=r4rpKkXtPV0,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=yh06wcO3IWg,"Q & A Ustadz Awan Abdullah, Sp. J",Religion,Dakwah
https://www.youtube.com/watch?v=PPkgJ4C-LYU,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
https://www.youtube.com/watch?v=o2ZdQPDLG3o,"Q & A Ustadz Awan Abdullah, Sp. J",Uncategorized,General
